Round Number,Date,Type,Invitations,CRS Score
1,1,1,1,1
345,02-May-25,Healthcare and social services occupations (Version 2),500,510
344,01-May-25,Education occupations (Version 1),"1,000",479
343,28-Apr-25,Provincial Nominee Program,421,727
342,14-Apr-25,Provincial Nominee Program,825,764
341,21-Mar-25,French language proficiency (Version 1),"7,500",379
340,17-Mar-25,Provincial Nominee Program,536,736
339,06-Mar-25,French language proficiency (Version 1),"4,500",410
338,03-Mar-25,Provincial Nominee Program,725,667
337,19-Feb-25,French language proficiency (Version 1),"6,500",428
336,17-Feb-25,Provincial Nominee Program,646,750
335,05-Feb-25,Canadian Experience Class,"4,000",521
334,04-Feb-25,Provincial Nominee Program,455,802
333,23-Jan-25,Canadian Experience Class,"4,000",527
332,08-Jan-25,Canadian Experience Class,"1,350",542
331,07-Jan-25,Provincial Nominee Program,471,793
330,16-Dec-24,Provincial Nominee Program,"1,085",727
329,03-Dec-24,French language proficiency (Version 1),800,466
328,02-Dec-24,Provincial Nominee Program,676,705
327,20-Nov-24,Healthcare occupations (Version 1),"3,000",463
326,19-Nov-24,Canadian Experience Class,400,539
325,18-Nov-24,Provincial Nominee Program,174,816
324,15-Nov-24,French language proficiency (Version 1),800,478
323,13-Nov-24,Canadian Experience Class,400,547
322,12-Nov-24,Provincial Nominee Program,733,812
321,23-Oct-24,Trade occupations (Version 1),"1,800",433
320,22-Oct-24,Canadian Experience Class,400,539
319,21-Oct-24,Provincial Nominee Program,648,791
318,10-Oct-24,French language proficiency (Version 1),"1,000",444
317,09-Oct-24,Canadian Experience Class,500,539
316,07-Oct-24,Provincial Nominee Program,"1,613",743
315,19-Sep-24,Canadian Experience Class,"4,000",509
314,13-Sep-24,French language proficiency (Version 1),"1,000",446
313,09-Sep-24,Provincial Nominee Program,911,732
312,27-Aug-24,Canadian Experience Class,"3,300",507
311,26-Aug-24,Provincial Nominee Program,"1,121",694
310,15-Aug-24,French language proficiency (Version 1),"2,000",394
309,14-Aug-24,Canadian Experience Class,"3,200",509
308,13-Aug-24,Provincial Nominee Program,763,690
307,31-Jul-24,Canadian Experience Class,"5,000",510
306,30-Jul-24,Provincial Nominee Program,964,686
305,18-Jul-24,French language proficiency (Version 1),"1,800",400
304,17-Jul-24,Canadian Experience Class,"6,300",515
303,16-Jul-24,Provincial Nominee Program,"1,391",670
302,08-Jul-24,French language proficiency (Version 1),"3,200",420
301,05-Jul-24,Healthcare occupations (Version 1),"3,750",445
300,04-Jul-24,Trade occupations (Version 1),"1,800",436
299,02-Jul-24,Provincial Nominee Program,920,739
298,19-Jun-24,Provincial Nominee Program,"1,499",663
297,31-May-24,Canadian Experience Class,"3,000",522
296,30-May-24,Provincial Nominee Program,"2,985",676
295,24-Apr-24,French language proficiency (Version 1),"1,400",410
294,23-Apr-24,General,"2,095",529
293,11-Apr-24,STEM occupations (Version 1),"4,500",491
292,10-Apr-24,General,"1,280",549
291,26-Mar-24,French language proficiency (Version 1),"1,500",388
290,25-Mar-24,General,"1,980",524
289,13-Mar-24,Transport occupations (Version 1),975,430
288,12-Mar-24,General,"2,850",525
287,29-Feb-24,French language proficiency (Version 1),"2,500",336
286,28-Feb-24,General,"1,470",534
285,16-Feb-24,Agriculture and agri-food occupations (Version 1),150,437
284,14-Feb-24,Healthcare occupations (Version 1),"3,500",422
283,13-Feb-24,General,"1,490",535
282,01-Feb-24,French language proficiency (Version 1),"7,000",365
281,31-Jan-24,General,730,541
280,23-Jan-24,General,"1,040",543
279,10-Jan-24,General,"1,510",546
278,21-Dec-23,Agriculture and agri-food occupations (Version 1),400,386
277,20-Dec-23,Transport occupations (Version 1),670,435
276,19-Dec-23,Trade occupations (Version 1),"1,000",425
275,18-Dec-23,General,"1,325",542
274,08-Dec-23,STEM occupations (Version 1),"5,900",481
273,07-Dec-23,French language proficiency (Version 1),"1,000",470
272,06-Dec-23,General,"4,750",561
271,26-Oct-23,Healthcare occupations (Version 1),"3,600",431
270,25-Oct-23,French language proficiency (Version 1),300,486
269,24-Oct-23,Provincial Nominee Program,"1,548",776
268,10-Oct-23,No Program Specified,"3,725",500
267,28-Sep-23,Agriculture and agri-food occupations (Version 1),600,354
266,27-Sep-23,French language proficiency (Version 1),500,472
265,26-Sep-23,No Program Specified,"3,000",504
264,20-Sep-23,Transport occupations (Version 1),"1,000",435
263,19-Sep-23,No Program Specified,"3,200",531
262,15-Aug-23,No Program Specified,"4,300",496
261,03-Aug-23,Trade occupations (Version 1),"1,500",388
260,02-Aug-23,French language proficiency (Version 1),800,435
259,01-Aug-23,No Program Specified,"2,000",517
258,12-Jul-23,French language proficiency (Version 1),"3,800",375
257,11-Jul-23,No Program Specified,800,505
256,07-Jul-23,French language proficiency (Version 1),"2,300",439
255,06-Jul-23,Healthcare occupations (Version 1),"1,500",463
254,05-Jul-23,STEM occupations (Version 1),500,486
